Specific PV System Yield [kWh/kWp];January;February;March;April;May;June;July;August;September;October;November;December;Total
2010;;;;;180.28;251.91;283.46;263.85;209.06;163.33;152.85;115.93;1620.67
2011;134.06;125.48;201.96;206.71;229.59;255.54;283.97;270.29;225.34;178.27;164.86;122.38;2398.45
2012;126.53;118.44;204.74;215.92;256.14;285.78;278.84;254.70;230.94;169.43;126.13;96.52;2364.11
2013;124.05;146.99;195.65;235.10;236.80;264.95;281.73;262.62;228.31;209.79;140.34;117.77;2444.10
2014;112.32;141.05;184.22;202.15;253.52;244.08;269.13;260.52;204.54;184.44;114.52;94.55;2265.03
2015;116.81;120.63;162.11;215.65;237.82;243.65;285.82;242.95;201.80;171.53;166.31;158.41;2323.48
2016;114.40;168.85;191.12;230.08;226.18;257.53;287.00;245.08;223.40;196.29;151.13;127.31;2418.38
2017;132.16;147.77;177.25;213.78;229.62;252.46;263.71;262.96;224.23;193.29;143.15;119.61;2359.99
2018;141.04;113.21;174.66;225.13;219.73;230.01;229.51;243.01;206.11;178.28;141.48;76.55;2178.71
2019;64.76;87.88;150.96;181.80;222.16;248.25;260.02;247.37;221.80;182.38;126.38;125.45;2119.21
2020;140.40;138.92;189.45;203.17;239.87;259.53;265.75;251.87;190.45;39.21;118.18;96.70;2133.50
2021;114.26;156.35;148.96;167.05;216.28;209.12;201.31;202.91;176.93;135.13;102.85;52.72;1883.86
2022;;71.27;129.27;172.03;198.11;205.02;218.17;202.10;63.36;9.23;36.08;28.45;1333.09
2023;83.05;12.81;146.29;184.55;162.72;217.39;250.19;197.10;110.87;;17.92;17.96;1400.84
2024;4.00;41.51;79.36;115.95;125.63;175.46;197.34;177.54;153.95;153.53;114.84;82.29;1421.39
2025;102.30;106.02;144.68;145.60;153.33;200.66;203.29;13.72;;;;;1069.60
;;;;;;;;;;;;;31734.40
Mean value;107.87;113.15;165.38;194.31;211.74;237.58;253.70;238.99;191.41;154.58;121.14;95.51;2085.34
Year portion;5.17%;5.43%;7.93%;9.32%;10.15%;11.39%;12.17%;11.46%;9.18%;7.41%;5.81%;4.58%;100.00%
