Specific PV System Yield [kWh/kWp];January;February;March;April;May;June;July;August;September;October;November;December;Total
2010;;;;;;;;;;;;54.67;54.67
2011;92.08;87.24;131.21;142.59;167.69;261.30;292.01;251.15;216.75;150.30;100.84;126.66;2019.82
2012;83.29;90.27;160.16;203.21;229.32;241.80;152.56;;86.97;120.22;71.12;40.62;1479.54
2013;71.95;80.12;119.78;149.62;;;25.28;244.27;208.27;109.00;81.15;57.09;1146.53
2014;113.81;111.42;161.79;194.21;230.08;250.56;260.70;230.61;191.13;158.54;94.50;111.04;2108.38
2015;98.14;37.66;176.46;204.92;248.18;229.93;268.07;256.49;200.81;144.68;146.28;104.33;2115.95
2016;88.50;147.69;178.72;237.82;216.50;241.60;244.15;235.29;182.72;167.04;131.62;92.89;2164.51
2017;101.93;110.68;159.35;213.42;225.56;269.40;269.76;243.52;233.84;172.99;138.39;106.34;2245.17
2018;123.26;99.42;181.55;227.69;197.61;234.72;258.07;249.48;206.12;153.63;105.38;66.89;2103.81
2019;95.08;85.19;166.55;156.95;223.02;245.68;254.71;258.17;209.59;170.78;137.35;112.13;2115.18
2020;92.66;100.02;144.48;175.56;212.20;248.23;287.73;267.23;191.38;158.63;96.23;99.47;2073.81
2021;97.16;113.46;151.38;182.60;251.63;246.79;250.00;254.42;187.95;131.15;107.77;86.01;2060.31
2022;78.01;81.41;108.46;205.76;220.98;231.66;237.38;217.40;199.31;129.75;121.20;90.13;1921.45
2023;110.32;115.19;154.54;179.61;165.01;253.16;291.58;267.52;215.24;168.90;135.75;112.60;2169.41
2024;86.34;107.91;179.67;218.56;223.35;273.02;283.39;261.51;205.35;195.36;144.72;89.04;2268.22
2025;122.67;92.07;176.12;175.02;206.26;271.36;273.44;13.49;;;;;1330.42
;;;;;;;;;;;;;29377.18
Mean value;97.01;97.32;156.68;191.17;215.53;249.94;243.26;249.00;195.39;152.21;115.16;89.99;2052.66
Year portion;4.73%;4.74%;7.63%;9.31%;10.50%;12.18%;11.85%;12.13%;9.52%;7.42%;5.61%;4.38%;100.00%
