Specific PV System Yield [kWh/kWp];January;February;March;April;May;June;July;August;September;October;November;December;Total
2010;;;;;;;;;;;;71.41;71.41
2011;77.23;94.99;152.25;168.10;198.22;263.75;295.74;227.92;227.07;156.15;108.45;125.16;2095.03
2012;85.00;94.31;179.69;224.88;249.42;286.67;294.18;279.75;192.83;146.45;72.46;52.00;2157.64
2013;47.53;56.60;126.85;151.62;208.39;230.13;167.96;255.58;185.07;166.73;99.27;73.86;1769.59
2014;94.71;109.52;144.67;173.83;207.45;234.99;220.94;209.84;158.71;117.30;73.76;102.21;1847.91
2015;85.79;81.39;128.60;200.65;239.71;219.34;265.37;244.28;195.32;146.76;150.41;108.14;2065.76
2016;91.34;141.38;172.34;225.90;209.59;239.95;208.49;193.23;180.50;159.65;125.75;91.51;2039.62
2017;98.24;120.42;156.87;207.89;218.67;255.40;238.27;221.12;217.25;153.67;136.46;101.38;2125.64
2018;93.34;65.88;116.32;156.31;193.35;221.37;245.93;246.21;211.05;168.18;115.05;72.13;1905.12
2019;91.81;67.56;162.28;168.49;224.57;234.86;238.55;237.48;201.26;176.50;121.21;113.29;2037.86
2020;68.46;79.57;127.92;165.93;199.42;225.61;223.70;214.82;167.46;152.99;93.72;96.93;1816.51
2021;99.38;106.44;65.98;101.39;224.28;239.70;216.36;225.65;174.09;134.51;106.63;83.54;1777.95
2022;64.29;81.09;99.33;179.59;199.58;192.56;222.81;205.01;175.31;127.40;99.33;68.86;1715.13
2023;104.23;107.49;153.57;163.52;126.56;224.29;264.99;247.70;199.67;177.61;128.60;113.88;2012.12
2024;89.69;107.07;147.11;209.02;207.28;257.77;267.69;238.97;195.70;196.53;145.79;51.77;2114.37
2025;81.45;78.47;156.13;158.93;184.83;235.87;246.81;12.28;;;;;1154.76
;;;;;;;;;;;;;28706.42
Mean value;84.83;92.81;139.33;177.07;206.09;237.48;241.19;231.97;191.52;155.75;112.63;89.62;1960.28
Year portion;4.33%;4.73%;7.11%;9.03%;10.51%;12.11%;12.30%;11.83%;9.77%;7.95%;5.75%;4.57%;100.00%
