Specific PV System Yield [kWh/kWp];January;February;March;April;May;June;July;August;September;October;November;December;Total
2010;;;;;62.24;166.84;191.80;188.20;158.17;125.77;122.30;88.05;1103.37
2011;108.07;100.02;152.17;157.68;167.16;171.98;191.76;190.91;171.68;144.36;135.98;95.60;1787.37
2012;101.23;92.11;153.83;168.58;181.47;183.39;193.47;191.19;176.70;143.92;106.17;78.64;1770.70
2013;103.20;117.57;156.23;174.04;168.70;176.47;192.34;182.15;175.01;168.60;111.87;93.01;1819.20
2014;90.60;110.62;151.32;147.88;177.40;161.52;183.17;179.63;144.82;144.27;104.03;93.44;1688.70
2015;84.97;94.31;126.86;158.90;172.74;155.00;184.48;172.03;154.17;135.94;111.94;120.06;1671.41
2016;76.43;105.76;111.48;178.29;162.61;171.20;190.89;172.94;167.13;151.11;119.07;102.38;1709.29
2017;101.08;117.63;136.76;161.95;163.71;165.52;179.41;182.33;164.82;151.64;114.17;96.04;1735.04
2018;113.58;92.87;135.39;171.41;164.72;164.16;156.67;174.09;154.09;140.80;115.33;85.21;1668.31
2019;84.30;82.93;153.38;137.55;158.32;163.95;174.69;172.86;169.62;148.03;80.47;71.04;1597.12
2020;77.04;36.52;146.18;156.67;167.75;170.87;180.60;179.57;159.49;132.89;97.37;81.63;1586.57
2021;83.77;111.23;143.39;154.63;173.01;158.49;168.60;145.88;120.21;105.16;98.04;83.47;1545.88
2022;84.54;75.75;6.85;147.20;153.14;156.69;170.43;162.44;153.52;148.18;108.84;102.49;1470.07
2023;95.51;117.83;135.92;135.44;117.52;143.63;165.18;158.64;139.62;135.46;99.99;85.05;1529.77
2024;78.44;89.12;167.96;183.73;176.66;184.71;189.04;181.01;173.15;174.27;138.08;94.91;1831.07
2025;119.08;111.14;150.51;151.11;159.79;169.05;196.18;29.86;;;;;1086.71
;;;;;;;;;;;;;25600.56
Mean value;93.46;97.03;135.21;159.00;164.31;166.47;181.79;175.59;158.81;143.36;110.91;91.40;1677.35
Year portion;5.57%;5.78%;8.06%;9.48%;9.80%;9.92%;10.84%;10.47%;9.47%;8.55%;6.61%;5.45%;100.00%
