Specific PV System Yield [kWh/kWp];January;February;March;April;May;June;July;August;September;October;November;December;Total
2010;;;;159.19;181.49;180.18;190.62;175.52;150.83;112.24;106.70;82.81;1339.58
2011;78.64;88.40;117.99;148.57;171.50;181.04;196.16;190.20;161.02;115.07;71.49;83.61;1603.69
2012;68.91;92.95;151.10;168.62;189.33;189.25;191.48;184.81;163.28;137.98;78.39;69.03;1685.13
2013;91.27;108.61;148.28;162.71;175.84;183.91;188.61;174.01;159.80;142.38;92.29;57.93;1685.62
2014;83.90;108.65;137.17;152.79;176.03;177.47;187.70;180.49;152.74;124.19;84.07;82.56;1647.76
2015;88.71;76.81;115.11;159.99;184.40;180.56;191.38;176.90;145.05;108.56;99.53;67.21;1594.21
2016;82.83;119.88;139.95;172.28;169.46;176.04;190.51;174.71;152.05;119.57;92.68;61.73;1651.69
2017;74.85;96.45;130.58;158.30;168.94;171.79;183.03;174.08;149.07;129.80;104.73;82.50;1624.11
2018;96.03;86.25;138.58;161.53;157.30;169.02;177.70;164.07;153.42;119.01;77.21;67.81;1567.92
2019;78.00;79.30;137.99;139.68;160.02;166.92;181.60;175.85;151.21;122.97;98.67;73.19;1565.39
2020;72.55;91.69;125.89;139.54;169.01;170.27;172.70;174.36;141.72;115.90;57.05;75.51;1506.19
2021;86.64;105.53;129.07;141.32;163.51;159.81;167.52;163.33;139.54;96.94;72.93;70.96;1497.10
2022;67.16;88.04;94.95;146.71;160.07;161.75;168.50;154.45;140.99;111.34;89.84;81.06;1464.85
2023;9.05;;;;;;;;;;;;9.05
;;;;;;;;;;;;;20442.27
Mean value;75.27;95.21;130.55;154.71;171.30;174.46;183.65;174.06;150.83;119.69;86.58;73.53;1589.85
Year portion;4.73%;5.99%;8.21%;9.73%;10.77%;10.97%;11.55%;10.95%;9.49%;7.53%;5.45%;4.63%;100.00%
Yield expectations;88.06;104.38;138.89;166.43;181.56;187.00;188.36;182.92;164.90;133.28;89.42;74.80;1700.00
